model,k,deviance,loglik,QAICc,weight,rmse_log,chat_pearson,backtest_MAPE,backtest_bias,parameters
logistic,3,364.935,-262.321,33.931,0.3225,0.2298,20.042,38.62,31.00,"K=9739, r=0.302, t_mid=2025.9"
gompertz,3,352.166,-255.937,33.286,0.4454,0.3062,19.783,39.16,38.72,"K=3.745e+06, r=0.031, t_mid=2086.3"
bass,3,377.946,-268.827,34.589,0.2321,0.2241,20.668,40.79,27.40,"m=8.856e+04, p=0.00018, q=0.294, t_peak=2029.1"
