model,k,deviance,loglik,QAICc,weight,rmse_log,chat_pearson,backtest_MAPE,backtest_bias,parameters
exponential,2,629.136,-389.270,60.333,0.0000,0.3335,34.070,57.66,57.55,"a=0.000319, b=0.1919 (21.2 %/yr)"
logistic,3,199.214,-174.309,32.409,0.9966,0.4323,13.996,44.18,44.07,"K=0.01297, r=0.330, t_mid=2019.8"
gompertz,3,358.099,-253.752,43.761,0.0034,0.4765,23.381,51.78,51.65,"K=0.06813, r=0.069, t_mid=2032.7"
