model,k,deviance,loglik,QAICc,weight,rmse_log,chat_pearson,backtest_MAPE,backtest_bias,parameters
exponential,2,513.479,-336.593,54.864,0.0001,0.3078,26.154,48.25,47.74,"a=0.000157, b=0.2241 (25.1 %/yr)"
logistic,3,223.057,-191.382,35.953,0.9580,0.3623,13.411,36.52,35.59,"K=0.01904, r=0.310, t_mid=2023.1"
gompertz,3,307.007,-233.357,42.213,0.0419,0.4407,18.983,44.28,43.76,"K=0.5201, r=0.046, t_mid=2053.6"
