model,k,deviance,loglik,QAICc,weight,rmse_log,chat_pearson,backtest_MAPE,backtest_bias,parameters
exponential,2,469.493,-314.600,36.471,0.0830,0.2655,24.322,45.34,44.93,"a=27.5, b=0.2563 (29.2 %/yr)"
logistic,3,364.935,-262.321,33.931,0.2957,0.2298,20.042,38.62,31.00,"K=9739, r=0.302, t_mid=2025.9"
gompertz,3,352.166,-255.937,33.286,0.4084,0.3062,19.783,39.16,38.72,"K=3.745e+06, r=0.031, t_mid=2086.3"
bass,3,377.946,-268.827,34.589,0.2129,0.2241,20.668,40.79,27.40,"m=8.856e+04, p=0.00018, q=0.294, t_peak=2029.1"
