series,year,count
field23_envsci,2004,133188
field23_envsci,2005,146190
field23_envsci,2006,160355
field23_envsci,2007,171031
field23_envsci,2008,184773
field23_envsci,2009,202040
field23_envsci,2010,217628
field23_envsci,2011,227361
field23_envsci,2012,242276
field23_envsci,2013,256633
field23_envsci,2014,265087
field23_envsci,2015,261721
field23_envsci,2016,258974
field23_envsci,2017,253576
field23_envsci,2018,261409
field23_envsci,2019,272075
field23_envsci,2020,287808
field23_envsci,2021,286429
field23_envsci,2022,274473
field23_envsci,2023,284270
field23_envsci,2024,307291
field23_envsci,2025,368095
field23_envsci,2026,280645
all_works,2000,2859065
all_works,2001,2818431
all_works,2002,3050120
all_works,2003,3336963
all_works,2004,3609553
all_works,2005,3845572
all_works,2006,4178171
all_works,2007,4420227
all_works,2008,4844941
all_works,2009,5126531
all_works,2010,5415093
all_works,2011,5684721
all_works,2012,5916987
all_works,2013,6187616
all_works,2014,6383216
all_works,2015,6450528
all_works,2016,6461027
all_works,2017,6145813
all_works,2018,5995254
all_works,2019,6258798
all_works,2020,6602263
all_works,2021,6126873
all_works,2022,5606541
all_works,2023,5743340
all_works,2024,6073854
all_works,2025,7188012
all_works,2026,5569632
HR_core,2016,2
HR_core,2017,1
HR_core,2018,1
HR_core,2019,5
HR_core,2020,5
HR_core,2021,9
HR_core,2022,8
HR_core,2023,8
HR_core,2024,5
HR_core,2025,18
HR_all,2005,3176
HR_all,2006,3835
HR_all,2007,4755
HR_all,2008,6456
HR_all,2009,7275
HR_all,2010,7775
HR_all,2011,8367
HR_all,2012,8778
HR_all,2013,8803
HR_all,2014,9278
HR_all,2015,9386
HR_all,2016,10105
HR_all,2017,9870
HR_all,2018,10719
HR_all,2019,10229
HR_all,2020,11037
HR_all,2021,11502
HR_all,2022,11531
HR_all,2023,11643
HR_all,2024,12081
HR_all,2025,13373
